dTime,Oosterhout,Singels,Dintelsas,Polders
0,0,20.73089701,17.40863787,0
1,0,20.73089701,17.40863787,0
32,0,20.33222591,17.14285714,0
60,0,26.44518272,22.72425249,0
91,0,5.980066445,4.119601329,1.727574751
121,2.126245847,4.119601329,3.588039867,1.860465116
152,5.84717608,5.315614618,3.588039867,6.112956811
182,3.056478405,7.3089701,5.315614618,2.392026578
213,4.651162791,6.511627907,4.784053156,3.986710963
244,1.063122924,10.49833887,8.903654485,0
274,0,6.245847176,5.581395349,0
305,0,11.02990033,9.03654485,0
335,0,28.43853821,23.92026578,0
366,0,20.73089701,17.40863787,0
397,0,20.33222591,17.14285714,0
425,0,26.44518272,22.72425249,0
456,0,5.980066445,4.119601329,1.727574751
486,2.126245847,4.119601329,3.588039867,1.860465116
517,5.84717608,5.315614618,3.588039867,6.112956811
547,3.056478405,7.3089701,5.315614618,2.392026578
578,4.651162791,6.511627907,4.784053156,3.986710963
609,1.063122924,10.49833887,8.903654485,0
639,0,6.245847176,5.581395349,0
670,0,11.02990033,9.03654485,0
700,0,28.43853821,23.92026578,0
731,0,20.73089701,17.40863787,0
762,0,20.33222591,17.14285714,0
790,0,26.44518272,22.72425249,0
821,0,5.980066445,4.119601329,1.727574751
851,2.126245847,4.119601329,3.588039867,1.860465116
882,5.84717608,5.315614618,3.588039867,6.112956811
912,3.056478405,7.3089701,5.315614618,2.392026578
943,4.651162791,6.511627907,4.784053156,3.986710963
974,1.063122924,10.49833887,8.903654485,0
1004,0,6.245847176,5.581395349,0
1035,0,11.02990033,9.03654485,0
1065,0,28.43853821,23.92026578,0
1096,0,20.73089701,17.40863787,0
1127,0,20.33222591,17.14285714,0
1155,0,26.44518272,22.72425249,0
1186,0,5.980066445,4.119601329,1.727574751
1216,2.126245847,4.119601329,3.588039867,1.860465116
1247,5.84717608,5.315614618,3.588039867,6.112956811
1277,3.056478405,7.3089701,5.315614618,2.392026578
1308,4.651162791,6.511627907,4.784053156,3.986710963
1339,1.063122924,10.49833887,8.903654485,0
1369,0,6.245847176,5.581395349,0
1400,0,11.02990033,9.03654485,0
1430,0,28.43853821,23.92026578,0
1461,0,20.73089701,17.40863787,0
1492,0,20.33222591,17.14285714,0
1520,0,26.44518272,22.72425249,0
1551,0,5.980066445,4.119601329,1.727574751
1581,2.126245847,4.119601329,3.588039867,1.860465116
1612,5.84717608,5.315614618,3.588039867,6.112956811
1642,3.056478405,7.3089701,5.315614618,2.392026578
1673,4.651162791,6.511627907,4.784053156,3.986710963
1704,1.063122924,10.49833887,8.903654485,0
1734,0,6.245847176,5.581395349,0
1765,0,11.02990033,9.03654485,0
1795,0,28.43853821,23.92026578,0
1825,0,28.43853821,23.92026578,0
