Month,a. Blauwe Kamer,b. Oranjeboombrug,c. Molenleij Breda,d. Inlet Oosterhout,e. Molenbeek,f. Ground water,g. rest heading,h. PolderOut,i. Dintel,j. Vliet,unit (m3/s)
1,4.784053156,3.853820598,0,0,1.328903654,9.833887043,0.930232558,0,-17.40863787,-3.455149502,
2,5.049833887,3.853820598,0,0,1.196013289,9.966777409,0.265780731,0,-17.14285714,-3.189368771,
3,6.511627907,5.448504983,0,0,1.860465116,11.82724252,0.797342193,0,-22.72425249,-3.720930233,
4,1.46179402,0.930232558,0,0,0.531561462,3.853820598,-0.797342193,-1.727574751,-4.119601329,-0.265780731,
5,1.063122924,0.664451827,0,2.126245847,0.531561462,1.727574751,0.132890365,-1.860465116,-3.588039867,-0.797342193,
6,0.398671096,0.398671096,0,5.84717608,0.398671096,1.860465116,2.259136213,-6.112956811,-3.588039867,-1.727574751,
7,1.196013289,0.797342193,0,3.056478405,0.664451827,2.790697674,1.860465116,-2.392026578,-5.315614618,-2.790697674,
8,0.664451827,0.531561462,0,4.651162791,0.398671096,1.328903654,3.588039867,-3.986710963,-4.784053156,-2.524916944,
9,1.328903654,0.930232558,0,1.063122924,0.664451827,8.106312292,-0.531561462,0,-8.903654485,-2.92358804,
10,1.328903654,0.797342193,0,0,0.797342193,2.657807309,0.664451827,0,-5.581395349,-0.930232558,
11,2.259136213,1.727574751,0,0,0.797342193,4.252491694,1.993355482,0,-9.03654485,-1.993355482,
12,6.378737542,5.581395349,0.398671096,0,2.126245847,10.23255814,3.720930233,0,-23.92026578,-4.651162791,
